x,y,z
1237.8012,583.1398,-199.0000
1239.8012,583.1398,-199.0000
1241.8012,583.1398,-199.0000
1243.8012,583.1398,-199.0000
1245.8012,583.1398,-199.0000
1247.8012,583.1398,-199.0000
1249.8012,583.1398,-199.0000
1251.8012,583.1398,-199.0000
1253.8012,583.1398,-199.0000
1255.8012,583.1398,-199.0000
1257.8012,583.1398,-199.0000
1259.8012,583.1398,-199.0000
1261.8012,583.1398,-199.0000
1263.8012,583.1398,-199.0000
1265.8012,583.1398,-199.0000
1267.8012,583.1398,-199.0000
1269.8012,583.1398,-199.0000
1271.8012,583.1398,-199.0000
1273.8012,583.1398,-199.0000
1275.8012,583.1398,-199.0000
1277.8012,583.1398,-199.0000
1279.8012,583.1398,-199.0000
1281.8012,583.1398,-199.0000
1283.8012,583.1398,-199.0000
1285.8012,583.1398,-199.0000
1287.8012,583.1398,-199.0000
1289.8012,583.1398,-199.0000
1291.8012,583.1398,-199.0000
1293.8012,583.1398,-199.0000
1295.8012,583.1398,-199.0000
1297.8012,583.1398,-199.0000
1299.8012,583.1398,-199.0000
1301.8012,583.1398,-199.0000
1303.8012,583.1398,-199.0000
1305.8012,583.1398,-199.0000
1307.8012,583.1398,-199.0000
1309.8012,583.1398,-199.0000
1311.8012,583.1398,-199.0000
1313.8012,583.1398,-199.0000
1315.8012,583.1398,-199.0000
1317.8012,583.1398,-199.0000
1319.8012,583.1398,-199.0000
1321.8012,583.1398,-199.0000
1323.8012,583.1398,-199.0000
1325.8012,583.1398,-199.0000
1327.8012,583.1398,-199.0000
1329.8012,583.1398,-199.0000
1331.8012,583.1398,-199.0000
1333.8012,583.1398,-199.0000
1335.8012,583.1398,-199.0000
1337.8012,583.1398,-199.0000
1339.8012,583.1398,-199.0000
1341.8012,583.1398,-199.0000
1343.8012,583.1398,-199.0000
1345.8012,583.1398,-199.0000
1347.8012,583.1398,-199.0000
1349.8012,583.1398,-199.0000
1351.8012,583.1398,-199.0000
1353.8012,583.1398,-199.0000
1355.8012,583.1398,-199.0000
1357.8012,583.1398,-199.0000
1359.8012,583.1398,-199.0000
1361.8012,583.1398,-199.0000
1363.8012,583.1398,-199.0000
1365.8012,583.1398,-199.0000
1367.8012,583.1398,-199.0000
1369.8012,583.1398,-199.0000
1371.8012,583.1398,-199.0000
1373.8012,583.1398,-199.0000
1375.8012,583.1398,-199.0000
1377.8012,583.1398,-199.0000
1379.8012,583.1398,-199.0000
1381.8012,583.1398,-199.0000
1383.8012,583.1398,-199.0000
1385.8012,583.1398,-199.0000
1387.8012,583.1398,-199.0000
1389.8012,583.1398,-199.0000
1391.8012,583.1398,-199.0000
1393.8012,583.1398,-199.0000
1395.8012,583.1398,-199.0000
1397.8012,583.1398,-199.0000
1399.8012,583.1398,-199.0000
1401.8012,583.1398,-199.0000
1403.8012,583.1398,-199.0000
1405.8012,583.1398,-199.0000
1407.8012,583.1398,-199.0000
1409.8012,583.1398,-199.0000
1411.8012,583.1398,-199.0000
1413.8012,583.1398,-199.0000
1415.8012,583.1398,-199.0000
1417.8012,583.1398,-199.0000
1419.8012,583.1398,-199.0000
1421.8012,583.1398,-199.0000
1423.8012,583.1398,-199.0000
1425.8012,583.1398,-199.0000
1427.8012,583.1398,-199.0000
1429.8012,583.1398,-199.0000
1431.8012,583.1398,-199.0000
1433.8012,583.1398,-199.0000
1435.8012,583.1398,-199.0000
1437.8012,583.1398,-199.0000
1439.6989,583.1398,-199.0000
1439.6989,583.1398,-199.0000
1441.7269,583.1398,-198.3290
1441.7269,583.1398,-198.3289
1442.3018,584.9692,-197.9698
1444.0463,585.6754,-197.5041
1444.2321,585.6795,-197.5000
1444.7679,585.6795,-197.5000
1446.7679,585.6795,-197.5000
1448.7679,585.6795,-197.5000
1450.7679,585.6795,-197.5000
1452.7679,585.6795,-197.5000
1454.7679,585.6795,-197.5000
1456.7679,585.6795,-197.5000
1458.7679,585.6795,-197.5000
1460.7679,585.6795,-197.5000
1462.5766,585.0960,-197.9094
1463.2687,583.3255,-198.3257
1463.2731,583.1398,-198.3290
1465.3012,583.1398,-199.0000
1467.3012,583.1398,-199.0000
1469.3012,583.1398,-199.0000
1471.3012,583.1398,-199.0000
1473.3012,583.1398,-199.0000
1475.3012,583.1398,-199.0000
